,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,description_lengths_cleaned,description_cleaned
24181,24470,US,this pinot s immediate lusciousness belies its complexity  your first impression is of ripe raspberries and cherries that taste like they were baked into a pie  then layers of minerals  mushrooms  cola and earthier fruits like persimmons and rhubarbs appear  all made brisk by amazing acidity and finishing bone dry  lovely now and over the next six years  after an hour or two in the decanter ,Rosella's Vineyard,92,59,California,Santa Lucia Highlands,Central Coast,UNKNOWN,UNKNOWN,Testarossa 2010 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,38,pinot immedi luscious beli complex first impress ripe raspberri cherri tast like bake pie layer miner mushroom cola earthier fruit like persimmon rhubarb appear made brisk amaz acid finish bone dri love next six year hour two decant
24219,24508,US,big flavors  full body and assertive tannins balance each other to make this out sized wine a winner  it has ripe black cherry and dried fig aromas  gushing fruit flavors and a broad texture  but the firm tannins keep it from tasting fat  it s hardly delicate  but definitely delicious ,Anderson Creek Vineyard,91,50,California,Anderson Valley,UNKNOWN,Jim Gordon,@gordone_cellars,Expression 39 2013 Anderson Creek Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Expression 39,31,big flavor full bodi assert tannin balanc make size wine winner ripe black cherri dri fig aroma gush fruit flavor broad textur firm tannin keep tast fat hardli delic definit delici
24272,24570,US,this blend from several sites is leathery and peppery  with a thick concentration of orange peel  cranberry and blueberry  it shows its fruity side well  mingling with just enough savory to pique the palate in a well made  light bodied package ,UNKNOWN,91,35,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,La Follette 2014 Pinot Noir (Russian River Valley),Pinot Noir,La Follette,25,blend sever site leatheri pepperi thick concentr orang peel cranberri blueberri show fruiti side well mingl enough savori piqu palat well made light bodi packag
24463,24763,France,a beautifully perfumed wine  this offers a line of fine tannins and brilliant aromatic fruitiness  cherries and strawberries show strongly against a backdrop of tannins and structure  the aftertaste  still with a hint of dryness  is round with great fragrant fruit  drink from      ,Les Cras Premier Cru,93,43,Burgundy,Chambolle-Musigny,UNKNOWN,Roger Voss,@vossroger,Domaine Méo-Camuzet 2013 Les Cras Premier Cru  (Chambolle-Musigny),Pinot Noir,Domaine Méo-Camuzet,26,beauti perfum wine offer line fine tannin brilliant aromat fruiti cherri strawberri show strongli backdrop tannin structur aftertast still hint dryness round great fragrant fruit drink
24496,24796,US,earthy and dark fruit driven  this is a richly rewarding  fruity wine  ripe in blackberry  clove and cocoa  from an estate vineyard named for benovia proprietor s two mothers  martha and eleanor  it offers the appellation s classic elements of savory clove and cola ,Martaella,93,60,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Benovia 2014 Martaella Pinot Noir (Russian River Valley),Pinot Noir,Benovia,28,earthi dark fruit driven richli reward fruiti wine ripe blackberri clove cocoa estat vineyard name benovia proprietor two mother martha eleanor offer appel classic element savori clove cola
24514,24814,US,young pinot noir can sometimes dazzle you with juicy expressive downright sensational fruit  as this does  though tasted prior to its official release  the wine drinks beautifully  offering a big hit of citrus flesh and rind along with lovely raspberry and blueberry fruit  it s forward  fresh  balanced tightly against its lush acidity  and is already just about irresistible ,UNKNOWN,93,50,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Toil Oregon 2015 Pinot Noir (Willamette Valley),Pinot Noir,Toil Oregon,37,young pinot noir sometim dazzl juici express downright sensat fruit though tast prior offici releas wine drink beauti offer big hit citru flesh rind along love raspberri blueberri fruit forward fresh balanc tightli lush acid alreadi irresist
24615,24915,US,beautifully fragrant of sweet black cherry and violet  this intensely fruity yet earthy wine is a standout within the heart   hands collection  richly textured  it finishes with hints of spice  dried leaf and lingering  gentle tannins ,Elaine's Vineyard,87,30,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,UNKNOWN,Heart & Hands 2010 Elaine's Vineyard Pinot Noir (Finger Lakes),Pinot Noir,Heart & Hands,26,beauti fragrant sweet black cherri violet intens fruiti yet earthi wine standout within heart hand collect richli textur finish hint spice dri leaf linger gentl tannin
24649,24949,US,this complex  tightly wound effort from a four acre block planted to a single clone tastes of luxurious caramel and toasted oak  its flavors superimposed over a backdrop of forest like scents ,Winery Block,90,85,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2014 Winery Block Pinot Noir (Green Valley),Pinot Noir,Iron Horse,21,complex tightli wound effort four acr block plant singl clone tast luxuri caramel toast oak flavor superimpos backdrop forest like scent
24929,25242,US,light in structure and made for early drinking  this pinot is crisp and dry  with cherry  cola and minty flavors  high acidity gives it a searing taste that calls for rich fare  like ahi tuna tartare ,Central Avenue Vineyard,87,21,California,Monterey County,Central Coast,UNKNOWN,UNKNOWN,Pessagno 2006 Central Avenue Vineyard Pinot Noir (Monterey County),Pinot Noir,Pessagno,24,light structur made earli drink pinot crisp dri cherri cola minti flavor high acid give sear tast call rich fare like ahi tuna tartar
24933,25246,France,set at       feet  the vineyard of les mouchottes inevitably produces cool and crisp wines with tangible acidity and strong red currant fruitiness  it s attractive and light  with a bright  fragrant aftertaste  drink from      ,Les Mouchottes,87,43,Burgundy,Bourgogne Hautes Côtes de Nuits,UNKNOWN,Roger Voss,@vossroger,Nuiton-Beaunoy 2012 Les Mouchottes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Nuiton-Beaunoy,22,set feet vineyard le mouchott inevit produc cool crisp wine tangibl acid strong red currant fruiti attract light bright fragrant aftertast drink
25046,25360,US,this brisk pinot offers a rich array of raspberries and cherries  with oak influences  it s bright in acidity  with a dry finish  and the alcohol is relatively low  it tastes a little rude and rustic now  but could develop some bottle complexity over the next     years ,Peters Vineyard Winemaker's Reserve,87,48,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Kokomo 2011 Peters Vineyard Winemaker's Reserve Pinot Noir (Sonoma Coast),Pinot Noir,Kokomo,26,brisk pinot offer rich array raspberri cherri oak influenc bright acid dri finish alcohol rel low tast littl rude rustic could develop bottl complex next year
25246,25563,France,this is a ripe wine  soft on the normal tannins of this appellation and big on the black cherry and berry fruits  it does have a firm core  cushioned by the generous fruitiness  drink this wine from      ,UNKNOWN,91,78,Burgundy,Pommard,UNKNOWN,Roger Voss,@vossroger,Château de Santenay 2015  Pommard,Pinot Noir,Château de Santenay,18,ripe wine soft normal tannin appel big black cherri berri fruit firm core cushion gener fruiti drink wine
25260,25577,France,a blend with     gamay  this wine comes from the beaujolais region  it has delicious red cherry fruit and attractive acidity  the wine with its layer of tannins is ready to drink  fruity and bright ,Collection,85,14,Burgundy,Coteaux Bourguignons,UNKNOWN,Roger Voss,@vossroger,L. Tramier & Fils 2015 Collection  (Coteaux Bourguignons),Pinot Noir-Gamay,L. Tramier & Fils,19,blend gamay wine come beaujolai region delici red cherri fruit attract acid wine layer tannin readi drink fruiti bright
25287,25604,US,as with many of oregon s      pinots  this is more refined  more austere  more herbal and lower in alcohol than the fruity  forward     s  it s a matter of personal preference which is preferable  the fruit here begins in rhubarb and runs to raspberry  with a stop for citrus peel along the way  spicy highlights of clove and coriander roll into a bright finish ,Oregon,90,35,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Aubichon Cellars 2013 Oregon Pinot Noir (Willamette Valley),Pinot Noir,Aubichon Cellars,31,mani oregon pinot refin auster herbal lower alcohol fruiti forward matter person prefer prefer fruit begin rhubarb run raspberri stop citru peel along way spici highlight clove coriand roll bright finish
25288,25605,US,this sultry wine is sourced from the producer s trenton road vineyard  cooler than where the winery itself sits in chalk hill  planted to six clones  it provides this bottling with a taste of blueberry and raspberry integrated around soft  juicy tannins and a brightness of acidity ,Estate Bottled,90,48,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Chalk Hill 2013 Estate Bottled Pinot Noir (Russian River Valley),Pinot Noir,Chalk Hill,27,sultri wine sourc produc trenton road vineyard cooler wineri sit chalk hill plant six clone provid bottl tast blueberri raspberri integr around soft juici tannin bright acid
25411,25730,Portugal,a curious wine that has little connection with pinot noir tastes  it has red fruits  hints of cherry  but for the rest is an attractive red wine and no more ,Quinta de Cidrô,84,35,Duriense,UNKNOWN,UNKNOWN,Roger Voss,@vossroger,Real Companhia Velha 2008 Quinta de Cidrô Pinot Noir (Duriense),Pinot Noir,Real Companhia Velha,15,curiou wine littl connect pinot noir tast red fruit hint cherri rest attract red wine
25549,25873,France,as often in alsace pinot noir  the wine has too much wood for its fruit  what fruitiness it has bitter cherries and red berries is smothered by high toast giving a dry  edgy aftertaste ,Westhoffen,84,25,Alsace,Alsace,UNKNOWN,Roger Voss,@vossroger,Domaine Loew 2013 Westhoffen Pinot Noir (Alsace),Pinot Noir,Domaine Loew,20,often alsac pinot noir wine much wood fruit fruiti bitter cherri red berri smother high toast give dri edgi aftertast
25550,25874,Chile,smoky spice leads to charred tones in the glass  this wood dominated pinot is disjointed and clumsy on the palate  raspberry and plum flavors are crowded by heavy oak spice  while the finish tastes resiny  with forest berry notes ,Duette Premium,84,18,Casablanca Valley,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Indomita 2013 Duette Premium Pinot Noir (Casablanca Valley),Pinot Noir,Indomita,25,smoki spice lead char tone glass wood domin pinot disjoint clumsi palat raspberri plum flavor crowd heavi oak spice finish tast resini forest berri note
25560,25884,France,a red wine that relies on its fruitiness to succeed  red berries and plums show strongly  aided by acidity  the texture has a stalky character with a bitter green herb aftertaste  drink now ,Tradition,84,27,Alsace,Alsace,UNKNOWN,Roger Voss,@vossroger,Domaine Vincent Stoeffler 2012 Tradition Pinot Noir (Alsace),Pinot Noir,Domaine Vincent Stoeffler,20,red wine reli fruiti succeed red berri plum show strongli aid acid textur stalki charact bitter green herb aftertast drink
25663,26010,US,the light and fruity flavors of young vines dominate here  tart and sharp in this cool vintage  raspberry and light herb open into a delicate  short  somewhat attenuated wine ,Shea Vineyard,86,50,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pali 2010 Shea Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Pali,19,light fruiti flavor young vine domin tart sharp cool vintag raspberri light herb open delic short somewhat attenu wine
25735,26082,France,a fruity wine  this has exuberant red berry flavors that suggest this wine can be consumed now  gentle tannins balance the fine acidity and rich  warm texture ,Les Charmes,87,43,Burgundy,Santenay,UNKNOWN,Roger Voss,@vossroger,Albert Bichot 2010 Les Charmes  (Santenay),Pinot Noir,Albert Bichot,17,fruiti wine exuber red berri flavor suggest wine consum gentl tannin balanc fine acid rich warm textur
25768,26119,US,this tastes like fruit from a cooler  perhaps higher altitude site  it s got a bracing minerality that runs through the fruit and gives the wine a solid backbone  rhubarb and cranberry fruit is tightly laced against that rocky core  with plenty of natural acid propping up the finish  little oak flavor is evident right now  though     of the barrels were new  this wine should be decanted  but as it opens it really shines ,Olalla Vineyard,90,60,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Torii Mor 2006 Olalla Vineyard Pinot Noir (Umpqua Valley),Pinot Noir,Torii Mor,42,tast like fruit cooler perhap higher altitud site got brace miner run fruit give wine solid backbon rhubarb cranberri fruit tightli lace rocki core plenti natur acid prop finish littl oak flavor evid right though barrel new wine decant open realli shine
25808,26159,US,put this into the budget category  for oregon pinot noir  where it shines  fruity and forward  there s plenty to like in the mix of orange flesh and rind  and strawberry and cherry hard candy  the fruit is backed with ample tannin  and a warm touch of mocha and toast fills in the finish ,UNKNOWN,89,28,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Brooks 2014 Pinot Noir (Willamette Valley),Pinot Noir,Brooks,29,put budget categori oregon pinot noir shine fruiti forward plenti like mix orang flesh rind strawberri cherri hard candi fruit back ampl tannin warm touch mocha toast fill finish
25980,26337,US,minty sage and cedar dot the aromatic profile of this wine that is holding on to tannin and oak with a fierce stubbornness  tart cherry  pomegranate and blueberry give it a fruity m lange  accented by subtle rose petal and violet ,Hawk's Roost Ranch,86,46,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,El Lugar 2013 Hawk's Roost Ranch Pinot Noir (Russian River Valley),Pinot Noir,El Lugar,24,minti sage cedar dot aromat profil wine hold tannin oak fierc stubborn tart cherri pomegran blueberri give fruiti lang accent subtl rose petal violet
26011,26368,New Zealand,craggy s pinot style has been trending away from overt fruitiness and toward this sort of complex umamifest of meat  parsnip and mushroom  with just enough black cherry fruit to support all of these components  this      has a firmly structured core surrounded by plush tannins and ample length on the finish  drink now      ,Te Muna Road Vineyard,90,50,Martinborough,UNKNOWN,UNKNOWN,Joe Czerwinski,@JoeCz,Craggy Range 2010 Te Muna Road Vineyard Pinot Noir (Martinborough),Pinot Noir,Craggy Range,30,craggi pinot style trend away overt fruiti toward sort complex umamifest meat parsnip mushroom enough black cherri fruit support compon firmli structur core surround plush tannin ampl length finish drink
26043,26400,US,elaborately ripe  this polished pinot explodes with fresh flavors of raspberries and cherries that taste pie baked  with the smoky  sweet  toasty crust  it s just delicious  and also obviously fruity sweet  with a jammy attractiveness  what it lacks in subtlety it more than makes up for in richness  drink now ,Fort Ross Vineyard,92,37,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Fort Ross 2008 Fort Ross Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Fort Ross,28,elabor ripe polish pinot explod fresh flavor raspberri cherri tast pie bake smoki sweet toasti crust delici also obvious fruiti sweet jammi attract lack subtleti make rich drink
26044,26401,US,exceptionally rich  a pinot noir that tastes dramatic from the get go  it s full bodied  dry and velvety  with complex flavors of berries  pomegranates  cherries  cola  currants  mushrooms and spices  the firm tannins and crisp acids suggest ageability over the next six years ,Bien Nacido Vineyard Block 8,92,56,California,Santa Maria Valley,Central Coast,UNKNOWN,UNKNOWN,Foxen 2009 Bien Nacido Vineyard Block 8 Pinot Noir (Santa Maria Valley),Pinot Noir,Foxen,30,except rich pinot noir tast dramat get go full bodi dri velveti complex flavor berri pomegran cherri cola currant mushroom spice firm tannin crisp acid suggest ageabl next six year
26092,26449,US,a dark color and lots of fresh fruit aromas lead to deep  ripe black cherry and red cherry flavors that taste clear and delicious  with more sipping  light spicy oak nuances emerge  including a touch of cinnamon and vanilla  but nothing gets in the way of the grapes  expression  although full bodied  the wine is gentle in texture with just enough crispness and light tannin for good balance ,Estate,94,60,California,Anderson Valley,UNKNOWN,Jim Gordon,@gordone_cellars,Lazy Creek 2014 Estate Pinot Noir (Anderson Valley),Pinot Noir,Lazy Creek,44,dark color lot fresh fruit aroma lead deep ripe black cherri red cherri flavor tast clear delici sip light spici oak nuanc emerg includ touch cinnamon vanilla noth get way grape express although full bodi wine gentl textur enough crisp light tannin good balanc
26119,26476,US,fruity and front loaded  with a tongue tingling mouthfeel  the tasty black cherry fruit quickly fills the mouth with a burst of fresh fruit  the wine is designed for near term enjoyment ,Coast Range Estate,88,45,Oregon,Willamette Valley,UNKNOWN,Paul Gregutt,@paulgwine ,Trisaetum 2009 Coast Range Estate Pinot Noir,Pinot Noir,Trisaetum,21,fruiti front load tongu tingl mouthfeel tasti black cherri fruit quickli fill mouth burst fresh fruit wine design near term enjoy
26163,26521,US,from a site on the edges of santa rosa  this vineyard designate shows a wealth of baked strawberry and is noteworthy for its vibrantly fruity aromatics  ripe  velvety and lush on the palate  it delivers sensually and deliciously  with a lasting imprint of cola spice on the finish ,Parsons' Vineyard,93,52,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Siduri 2014 Parsons' Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Siduri,26,site edg santa rosa vineyard design show wealth bake strawberri noteworthi vibrantli fruiti aromat ripe velveti lush palat deliv sensual delici last imprint cola spice finish
26315,26673,US,this is a unique pinot noir  different from almost everything else out there  sourced from a vineyard in the petaluma gap region  perhaps a future ava   it s bone dry  moderate in alcohol  and tannic  it has lighter  leaner flavors than most pinots  with the fruit accompanied by herbs  minerals  flowers and mushrooms  fans of super fruity pinots will find it unrich  but burgundy lovers may think of pommard  it will be fascinating to track this wine s progress ,Clos Madeleine,93,90,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Notre Vin 2006 Clos Madeleine Pinot Noir (Sonoma Coast),Pinot Noir,Notre Vin,45,uniqu pinot noir differ almost everyth els sourc vineyard petaluma gap region perhap futur ava bone dri moder alcohol tannic lighter leaner flavor pinot fruit accompani herb miner flower mushroom fan super fruiti pinot find unrich burgundi lover may think pommard fascin track wine progress
26377,26758,US,from a cool site overlooking the ocean in occidental  this is a feral  earthy wine  with a nose of garden patch  black tea and orange  juicy at its core  it s structured in smooth tannin  hints of new oak provide pleasant accents without overburdening the herbal and fruity core ,English Hill,90,48,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,The Withers Winery 2014 English Hill Pinot Noir (Sonoma Coast),Pinot Noir,The Withers Winery,30,cool site overlook ocean occident feral earthi wine nose garden patch black tea orang juici core structur smooth tannin hint new oak provid pleasant accent without overburden herbal fruiti core
26429,26810,US,if you ve ever had a momtazi wine  you know that there is a strong earthy aspect to the flavors that sets the vineyard apart from most others  in the scents and tastes here you ll find composted earth  chalk  dried leaves and black tea ahead of black cherry fruit  but those funk soaked flavors add up to a complex and intriguing wine ,Momtazi Vineyard,90,40,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Portlandia 2014 Momtazi Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Portlandia,33,ever momtazi wine know strong earthi aspect flavor set vineyard apart other scent tast find compost earth chalk dri leav black tea ahead black cherri fruit funk soak flavor add complex intrigu wine
26487,26885,US,this is sour  bitter and just all around dull tasting  a charmless wine ,UNKNOWN,81,13,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Rascal 2015 Pinot Noir (Oregon),Pinot Noir,Rascal,7,sour bitter around dull tast charmless wine
26531,26929,US,simple and sharp in acidity  this pinot has a jammy raspberry flavor  it tastes sugary sweet all through the finish  it was tasted twice ,Grand Reserve,82,26,California,Russian River Valley,Sonoma,UNKNOWN,UNKNOWN,Thomas Scott 2010 Grand Reserve Pinot Noir (Russian River Valley),Pinot Noir,Thomas Scott,13,simpl sharp acid pinot jammi raspberri flavor tast sugari sweet finish tast twice
26577,26980,US,a very dry  acidic  rather severe pinot noir  made in a tighter  leaner style than most  if you find california pinot too fruity  you ll like the streamlined raspberry  pepper and mineral flavors ,UNKNOWN,87,30,California,Mendocino County,UNKNOWN,UNKNOWN,UNKNOWN,Paul Dolan 2007 Pinot Noir (Mendocino County),Pinot Noir,Paul Dolan,20,dri acid rather sever pinot noir made tighter leaner style find california pinot fruiti like streamlin raspberri pepper miner flavor
26665,27069,France,this vineyard is widely regarded for its quality worthy of grand cru status  and this wine  from vines owned by louis jadot  is a fine example  it is both structured and richly fruity dense with ripe red fruit flavors cut with acidity  a dry core of tannins will allow this impressive wine to age  drink from      ,Clos Saint-Jacques Premier Cru,94,206,Burgundy,Gevrey-Chambertin,UNKNOWN,Roger Voss,@vossroger,Louis Jadot 2014 Clos Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot,33,vineyard wide regard qualiti worthi grand cru statu wine vine own loui jadot fine exampl structur richli fruiti dens ripe red fruit flavor cut acid dri core tannin allow impress wine age drink
26747,27151,France,old vines always add some concentration to a wine  and this firm and dark wine is no exception  it s also juicy and fruity with a full character that is already attractive but should age well over     years ,Vieilles Vignes,89,43,Burgundy,Volnay,UNKNOWN,Roger Voss,@vossroger,Domaine Poulleau Père et Fils 2011 Vieilles Vignes  (Volnay),Pinot Noir,Domaine Poulleau Père et Fils,20,old vine alway add concentr wine firm dark wine except also juici fruiti full charact alreadi attract age well year
26768,27172,France,structured wine  with firm tannins as well as a light touch of wood aging  it s a fruity wine  raspberry fruit cut with taut acidity  it can be drunk now for its fruitiness  but would be better allowing the tannins to soften  so drink from      ,Domaine des Perdrix,89,43,Burgundy,Nuits-St.-Georges,UNKNOWN,Roger Voss,@vossroger,Domaines Devillard 2011 Domaine des Perdrix  (Nuits-St.-Georges),Pinot Noir,Domaines Devillard,24,structur wine firm tannin well light touch wood age fruiti wine raspberri fruit cut taut acid drunk fruiti would better allow tannin soften drink
26798,27202,France,this wine is soft  with a light fruitiness and earthy flavors typical of some pinot noir  the tannic element gives a dry core to this simple  fruity wine  drink now ,UNKNOWN,83,28,Burgundy,Bourgogne,UNKNOWN,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2012  Bourgogne,Pinot Noir,Jean-Luc and Paul Aegerter,18,wine soft light fruiti earthi flavor typic pinot noir tannic element give dri core simpl fruiti wine drink
26891,27303,US,winemaker ross cobb  formerly with williams selyem and flowers  did his best  but this pinot tastes acidic and labored  it has lean flavors of strawberries and raspberries and new french oak  the wine isn t showing well now  seemingly a victim of the harsh vintage  its future is problematic ,East Ridge,88,85,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Hirsch 2011 East Ridge Pinot Noir (Sonoma Coast),Pinot Noir,Hirsch,28,winemak ross cobb formerli william selyem flower best pinot tast acid labor lean flavor strawberri raspberri new french oak wine show well seemingli victim harsh vintag futur problemat
26980,27398,France,light  fruity  packed with strawberries  this is an attractive pinot noir  the only spoiler is the over excited use of wood which is masking the fruit and will always be an important factor ,Clos Saint Landelain,86,25,Alsace,Alsace,UNKNOWN,Roger Voss,@vossroger,René Muré 2011 Clos Saint Landelain Pinot Noir (Alsace),Pinot Noir,René Muré,16,light fruiti pack strawberri attract pinot noir spoiler excit use wood mask fruit alway import factor
27291,27715,France,ladoix is a forgotten burgundy village that can offer good value  this wine with its strawberry fruits and gentle tannins fits the bill  there is a fine  ripe feel to it  and a dry edge that sets off the fruitiness ,Clos de Chagnots,87,32,Burgundy,Ladoix,UNKNOWN,Roger Voss,@vossroger,Pierre André 2007 Clos de Chagnots  (Ladoix),Pinot Noir,Pierre André,21,ladoix forgotten burgundi villag offer good valu wine strawberri fruit gentl tannin fit bill fine ripe feel dri edg set fruiti
27298,27722,France,there is some weight on this young tasting wine  the tannins are beginning to allow the red berry and damson fruits to open up  touches of wood round it out for aging ,La Brigardière Vieilles Vignes,87,24,Burgundy,Mercurey,UNKNOWN,Roger Voss,@vossroger,Château Philippe-le-Hardi 2009 La Brigardière Vieilles Vignes  (Mercurey),Pinot Noir,Château Philippe-le-Hardi,16,weight young tast wine tannin begin allow red berri damson fruit open touch wood round age
27338,27762,US,this is a huge pinot noir big boned all around tasting of warm climate fruit  with bulky tannins and a heavy oak presence  let it open a bit to let out the dark plum and earthy spice flavors ,Filigreen,85,33,California,Mendocino County,UNKNOWN,Virginie Boone,@vboone,Paul Dolan 2010 Filigreen Pinot Noir (Mendocino County),Pinot Noir,Paul Dolan,24,huge pinot noir big bone around tast warm climat fruit bulki tannin heavi oak presenc let open bit let dark plum earthi spice flavor
27430,27860,US,this bold and flavorful wine has a strong black tea element in the complex flavors  full body and a smooth  mouthcoating texture  it tastes riper and more roasted or beefy than many of its peers and is compelling for its concentration on the palate and length on the finish ,Manchester Ridge,92,45,California,Mendocino Ridge,UNKNOWN,Jim Gordon,@gordone_cellars,Cerridwen 2012 Manchester Ridge Pinot Noir (Mendocino Ridge),Pinot Noir,Cerridwen,25,bold flavor wine strong black tea element complex flavor full bodi smooth mouthcoat textur tast riper roast beefi mani peer compel concentr palat length finish
27542,27972,US,stemmy in earthy pine and clove like spice  this is a powerfully dense and delicious wine  it s on the higher side in terms of alcohol  though doesn t reflect it in bouquet or taste  savory dark berry wraps itself around mushroomy truffles and black tea to linger on the tongue through a lengthy  weighty finish ,Sangiacomo Roberts Road Vineyard,91,58,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Pali 2013 Sangiacomo Roberts Road Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Pali,32,stemmi earthi pine clove like spice power dens delici wine higher side term alcohol though reflect bouquet tast savori dark berri wrap around mushroomi truffl black tea linger tongu lengthi weighti finish
27558,27988,US,this straightforward  affordable dry wine is good and fruity  with medium body  moderate tannins and plenty of red cherry and blackberry flavors ,UNKNOWN,86,12,California,California,California Other,Jim Gordon,@gordone_cellars,Guenoc 2014 Pinot Noir (California),Pinot Noir,Guenoc,15,straightforward afford dri wine good fruiti medium bodi moder tannin plenti red cherri blackberri flavor
27916,28358,Argentina,trapiche may be on to something with this atlantic coast pinot noir  earthy aromas suggest bacon  tire rubber and oak infused berry and cherry  the mouthfeel is fresh but weighty  flavors of roasted cherry and plum are earthy  while this inaugural pinot from south of buenos aires tastes meaty and feels warm on the finish ,Costa & Pampa,89,20,Other,Buenos Aires,UNKNOWN,Michael Schachner,@wineschach,Trapiche 2016 Costa & Pampa Pinot Noir (Buenos Aires),Pinot Noir,Trapiche,35,trapich may someth atlant coast pinot noir earthi aroma suggest bacon tire rubber oak infus berri cherri mouthfeel fresh weighti flavor roast cherri plum earthi inaugur pinot south bueno air tast meati feel warm finish
28191,28639,US,an awesome wine  so delicious and complex now in wild cherry  raspberry  dr  pepper cola  bacon and smoky sandalwood flavors  brightened with crisp acidity and totally dry despite the fruitiness  but you ll also find a firm tannic structure that gives it some astringency  it s the kind of pinot noir that california does at its best  drinkable now for sheer beauty  but easily capable of a decade of aging ,Klopp Ranch Méthode a L'Ancienne,96,57,California,Russian River Valley,Sonoma,UNKNOWN,UNKNOWN,Merry Edwards 2008 Klopp Ranch Méthode a L'Ancienne Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards,40,awesom wine delici complex wild cherri raspberri dr pepper cola bacon smoki sandalwood flavor brighten crisp acid total dri despit fruiti also find firm tannic structur give astring kind pinot noir california best drinkabl sheer beauti easili capabl decad age
28194,28642,US,this single vineyard pinot noir shows fine coastal acidity and dryness  and a transparency of taste that comes from the terroir  it s very delicious  with jammy raspberry and cherry fruit flavors enriched with oaky vanillins and smoky  buttery caramel  gorgeous and compelling  combining power and nuance  it s a wine to drink now and through       at least ,Terra de Promissio,95,70,California,Sonoma Coast,Sonoma,UNKNOWN,UNKNOWN,Lynmar 2009 Terra de Promissio Pinot Noir (Sonoma Coast),Pinot Noir,Lynmar,33,singl vineyard pinot noir show fine coastal acid dryness transpar tast come terroir delici jammi raspberri cherri fruit flavor enrich oaki vanillin smoki butteri caramel gorgeou compel combin power nuanc wine drink least
28246,28694,Chile,creamy plum and raspberry aromas are a touch medicinal and herbal  full and thick in the mouth  with a creamy texture  meatiness and sizable strawberry  black cherry and plum flavors  tastes a bit herbal and minty on the finish ,Corralillo,86,28,San Antonio,UNKNOWN,UNKNOWN,Michael Schachner,@wineschach,Matetic 2010 Corralillo Pinot Noir (San Antonio),Pinot Noir,Matetic,24,creami plum raspberri aroma touch medicin herbal full thick mouth creami textur meati sizabl strawberri black cherri plum flavor tast bit herbal minti finish
28313,28761,US,very tasty and well balanced  this wine is fresh  smooth and easy to enjoy  and it stayed that way for two days after tasting  it has delicious red cherry and cranberry flavors that blend nicely with the lively texture and medium body  just the thing when a slightly lighter  more refreshing red is called for ,Wentzel Vineyard,91,42,California,Anderson Valley,UNKNOWN,Jim Gordon,@gordone_cellars,Halcon 2014 Wentzel Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Halcon,30,tasti well balanc wine fresh smooth easi enjoy stay way two day tast delici red cherri cranberri flavor blend nice live textur medium bodi thing slightli lighter refresh red call
28332,28780,US,a little floral and a lot of fruity and spicy elements make this full bodied wine delicious and nicely complex  the grape flavors are fully ripe  like blackberry and black cherry  and the texture is broad and juicy without being too soft  it blends grapes from angel camp vineyard with balo grown grapes ,Avenging Angel,91,55,California,Anderson Valley,UNKNOWN,Jim Gordon,@gordone_cellars,Balo 2013 Avenging Angel Pinot Noir (Anderson Valley),Pinot Noir,Balo,34,littl floral lot fruiti spici element make full bodi wine delici nice complex grape flavor fulli ripe like blackberri black cherri textur broad juici without soft blend grape angel camp vineyard balo grown grape
